============================================================
  Experiment 3 -- Number of Environments (Increasing Diversity)
  bash src/exp3/run_exp3.sh > results/exp3/results.txt 2>&1
============================================================
[IRM - n_envs=1 - oracle]
Using device: cuda
Mode: irm  |  n_envs: 1  |  Selection: oracle  |  Trials: 50

Trial 00 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 0.9s
Trial 01 | score: 0.1138 | val: [] | test: 0.1138 | elapsed: 2.9s
Trial 02 | score: 0.1291 | val: [] | test: 0.1291 | elapsed: 0.7s
Trial 03 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 0.7s
Trial 04 | score: 0.0990 | val: [] | test: 0.0990 | elapsed: 1.1s
Trial 05 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 1.4s
Trial 06 | score: 0.0990 | val: [] | test: 0.0990 | elapsed: 2.3s
Trial 07 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 1.7s
Trial 08 | score: 0.1538 | val: [] | test: 0.1538 | elapsed: 0.9s
Trial 09 | score: 0.0999 | val: [] | test: 0.0999 | elapsed: 0.8s
Trial 10 | score: 0.1074 | val: [] | test: 0.1074 | elapsed: 0.7s
Trial 11 | score: 0.1047 | val: [] | test: 0.1047 | elapsed: 0.6s
Trial 12 | score: 0.0988 | val: [] | test: 0.0988 | elapsed: 1.1s
Trial 13 | score: 0.0993 | val: [] | test: 0.0993 | elapsed: 1.1s
Trial 14 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 2.5s
Trial 15 | score: 0.1009 | val: [] | test: 0.1009 | elapsed: 1.8s
Trial 16 | score: 0.0989 | val: [] | test: 0.0989 | elapsed: 2.4s
Trial 17 | score: 0.0988 | val: [] | test: 0.0988 | elapsed: 0.6s
Trial 18 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 4.8s
Trial 19 | score: 0.2394 | val: [] | test: 0.2394 | elapsed: 5.0s
Trial 20 | score: 0.0990 | val: [] | test: 0.0990 | elapsed: 2.1s
Trial 21 | score: 0.1022 | val: [] | test: 0.1022 | elapsed: 0.5s
Trial 22 | score: 0.1002 | val: [] | test: 0.1002 | elapsed: 0.5s
Trial 23 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 2.1s
Trial 24 | score: 0.0993 | val: [] | test: 0.0993 | elapsed: 1.1s
Trial 25 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 0.3s
Trial 26 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 1.4s
Trial 27 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 1.8s
Trial 28 | score: 0.0989 | val: [] | test: 0.0989 | elapsed: 0.4s
Trial 29 | score: 0.4727 | val: [] | test: 0.4727 | elapsed: 2.8s
Trial 30 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 1.3s
Trial 31 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 2.8s
Trial 32 | score: 0.0989 | val: [] | test: 0.0989 | elapsed: 1.8s
Trial 33 | score: 0.1667 | val: [] | test: 0.1667 | elapsed: 1.6s
Trial 34 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 0.3s
Trial 35 | score: 0.1603 | val: [] | test: 0.1603 | elapsed: 3.4s
Trial 36 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 3.0s
Trial 37 | score: 0.2235 | val: [] | test: 0.2235 | elapsed: 1.2s
Trial 38 | score: 0.0988 | val: [] | test: 0.0988 | elapsed: 0.4s
Trial 39 | score: 0.2853 | val: [] | test: 0.2853 | elapsed: 2.7s
Trial 40 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 0.4s
Trial 41 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 1.5s
Trial 42 | score: 0.0986 | val: [] | test: 0.0986 | elapsed: 1.6s
Trial 43 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 2.0s
Trial 44 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 1.0s
Trial 45 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 2.1s
Trial 46 | score: 0.1122 | val: [] | test: 0.1122 | elapsed: 2.4s
Trial 47 | score: 0.2626 | val: [] | test: 0.2626 | elapsed: 1.4s
Trial 48 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 1.0s
Trial 49 | score: 0.0992 | val: [] | test: 0.0992 | elapsed: 0.5s

Best score: 0.4727
Best hparams: {'hidden_dim': 424, 'l2_regularizer_weight': 1.3464823523303167e-05, 'lr': 0.0021023561041403015, 'penalty_anneal_iters': 207, 'penalty_weight': 208552.75971799853, 'steps': 301, 'grayscale_model': False}
Saved -> results/exp3/search_results_irm_1_oracle.json
[IRM - n_envs=1 - train_domain_val]
Using device: cuda
Mode: irm  |  n_envs: 1  |  Selection: train_domain_val  |  Trials: 50

