============================================================
  Experiment 4 -- Number of Environments (Fixed Range)
  bash src/exp4/run_exp4.sh > results/exp4/results.txt 2>&1
============================================================
[IRM - n_envs=1 - oracle]
Using device: cuda
Mode: irm  |  n_envs: 1  |  Selection: oracle  |  Trials: 50

Trial 00 | score: 0.0995 | val: [] | test: 0.0995 | elapsed: 1.0s
Trial 01 | score: 0.6710 | val: [] | test: 0.6710 | elapsed: 2.8s
Trial 02 | score: 0.2049 | val: [] | test: 0.2049 | elapsed: 0.7s
Trial 03 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 0.7s
Trial 04 | score: 0.1138 | val: [] | test: 0.1138 | elapsed: 1.3s
Trial 05 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 1.5s
Trial 06 | score: 0.1079 | val: [] | test: 0.1079 | elapsed: 2.2s
Trial 07 | score: 0.1030 | val: [] | test: 0.1030 | elapsed: 1.6s
Trial 08 | score: 0.2344 | val: [] | test: 0.2344 | elapsed: 0.9s
Trial 09 | score: 0.1151 | val: [] | test: 0.1151 | elapsed: 0.8s
Trial 10 | score: 0.1335 | val: [] | test: 0.1335 | elapsed: 0.7s
Trial 11 | score: 0.1580 | val: [] | test: 0.1580 | elapsed: 0.8s
Trial 12 | score: 0.1059 | val: [] | test: 0.1059 | elapsed: 1.3s
Trial 13 | score: 0.1182 | val: [] | test: 0.1182 | elapsed: 1.2s
Trial 14 | score: 0.0990 | val: [] | test: 0.0990 | elapsed: 2.6s
Trial 15 | score: 0.2290 | val: [] | test: 0.2290 | elapsed: 1.8s
Trial 16 | score: 0.1119 | val: [] | test: 0.1119 | elapsed: 2.5s
Trial 17 | score: 0.1286 | val: [] | test: 0.1286 | elapsed: 0.6s
Trial 18 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 4.7s
Trial 19 | score: 0.4735 | val: [] | test: 0.4735 | elapsed: 5.0s
Trial 20 | score: 0.1177 | val: [] | test: 0.1177 | elapsed: 2.1s
Trial 21 | score: 0.1321 | val: [] | test: 0.1321 | elapsed: 0.5s
Trial 22 | score: 0.1271 | val: [] | test: 0.1271 | elapsed: 0.5s
Trial 23 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 2.3s
Trial 24 | score: 0.1227 | val: [] | test: 0.1227 | elapsed: 1.2s
Trial 25 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 0.4s
Trial 26 | score: 0.1028 | val: [] | test: 0.1028 | elapsed: 1.5s
Trial 27 | score: 0.0996 | val: [] | test: 0.0996 | elapsed: 1.9s
Trial 28 | score: 0.1269 | val: [] | test: 0.1269 | elapsed: 0.5s
Trial 29 | score: 0.3175 | val: [] | test: 0.3175 | elapsed: 2.8s
Trial 30 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 1.1s
Trial 31 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 2.8s
Trial 32 | score: 0.1115 | val: [] | test: 0.1115 | elapsed: 2.0s
Trial 33 | score: 0.2475 | val: [] | test: 0.2475 | elapsed: 1.8s
Trial 34 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 0.4s
Trial 35 | score: 0.3407 | val: [] | test: 0.3407 | elapsed: 3.5s
Trial 36 | score: 0.1086 | val: [] | test: 0.1086 | elapsed: 2.9s
Trial 37 | score: 0.3782 | val: [] | test: 0.3782 | elapsed: 0.9s
Trial 38 | score: 0.1006 | val: [] | test: 0.1006 | elapsed: 0.4s
Trial 39 | score: 0.2395 | val: [] | test: 0.2395 | elapsed: 2.8s
Trial 40 | score: 0.1072 | val: [] | test: 0.1072 | elapsed: 0.4s
Trial 41 | score: 0.0987 | val: [] | test: 0.0987 | elapsed: 1.6s
Trial 42 | score: 0.1008 | val: [] | test: 0.1008 | elapsed: 1.5s
Trial 43 | score: 0.0992 | val: [] | test: 0.0992 | elapsed: 2.0s
Trial 44 | score: 0.1039 | val: [] | test: 0.1039 | elapsed: 1.0s
Trial 45 | score: 0.0999 | val: [] | test: 0.0999 | elapsed: 2.1s
Trial 46 | score: 0.1580 | val: [] | test: 0.1580 | elapsed: 2.3s
Trial 47 | score: 0.3518 | val: [] | test: 0.3518 | elapsed: 1.5s
Trial 48 | score: 0.0988 | val: [] | test: 0.0988 | elapsed: 1.0s
Trial 49 | score: 0.1074 | val: [] | test: 0.1074 | elapsed: 0.5s

Best score: 0.6710
Best hparams: {'hidden_dim': 427, 'l2_regularizer_weight': 0.0006605524798050307, 'lr': 0.0016962761700286555, 'penalty_anneal_iters': 176, 'penalty_weight': 549907.5661406083, 'steps': 301, 'grayscale_model': False}
Saved -> results/exp4/search_results_irm_1_oracle.json
[IRM - n_envs=1 - train_domain_val]
Using device: cuda
Mode: irm  |  n_envs: 1  |  Selection: train_domain_val  |  Trials: 50

Trial 00 | score: 0.8505 | val: ['0.8505'] | test: 0.0990 | elapsed: 0.9s
Trial 01 | score: 0.8170 | val: ['0.8170'] | test: 0.3023 | elapsed: 2.3s
Trial 02 | score: 0.8388 | val: ['0.8388'] | test: 0.1643 | elapsed: 0.6s
Trial 03 | score: 0.8502 | val: ['0.8502'] | test: 0.0993 | elapsed: 0.6s
Trial 04 | score: 0.8480 | val: ['0.8480'] | test: 0.1133 | elapsed: 1.2s
Trial 05 | score: 0.8507 | val: ['0.8507'] | test: 0.0987 | elapsed: 1.3s
Trial 06 | score: 0.8486 | val: ['0.8486'] | test: 0.1108 | elapsed: 1.9s
Trial 07 | score: 0.8505 | val: ['0.8505'] | test: 0.1015 | elapsed: 1.5s
Trial 08 | score: 0.7490 | val: ['0.7490'] | test: 0.5515 | elapsed: 0.8s
Trial 09 | score: 0.8436 | val: ['0.8436'] | test: 0.1500 | elapsed: 0.7s
Trial 10 | score: 0.8356 | val: ['0.8356'] | test: 0.1878 | elapsed: 0.6s
