============================================================
  Experiment 5 -- Proximity vs Diversity 2x2
  bash src/exp5/run_exp5.sh > results/exp5/results.txt 2>&1
============================================================
[IRM - Config A - train_domain_val]
Using device: cuda
Mode: irm  |  Config: A  |  e values: [0.1, 0.2]  |  Selection: train_domain_val  |  Trials: 50

Trial 00 | score: 0.7882 | val: ['0.9074', '0.7882'] | test: 0.1256 | elapsed: 1.1s
Trial 01 | score: 0.7516 | val: ['0.7810', '0.7516'] | test: 0.5764 | elapsed: 2.6s
Trial 02 | score: 0.7814 | val: ['0.8768', '0.7814'] | test: 0.2442 | elapsed: 0.7s
Trial 03 | score: 0.6468 | val: ['0.6742', '0.6468'] | test: 0.5220 | elapsed: 0.9s
Trial 04 | score: 0.6764 | val: ['0.6938', '0.6764'] | test: 0.6641 | elapsed: 1.8s
Trial 05 | score: 0.6256 | val: ['0.6356', '0.6256'] | test: 0.6379 | elapsed: 1.9s
Trial 06 | score: 0.7074 | val: ['0.7236', '0.7074'] | test: 0.6617 | elapsed: 2.2s
Trial 07 | score: 0.7170 | val: ['0.7336', '0.7170'] | test: 0.6272 | elapsed: 2.5s
Trial 08 | score: 0.7364 | val: ['0.7720', '0.7364'] | test: 0.5556 | elapsed: 1.0s
Trial 09 | score: 0.7058 | val: ['0.7084', '0.7058'] | test: 0.6755 | elapsed: 0.8s
Trial 10 | score: 0.6940 | val: ['0.7114', '0.6940'] | test: 0.6721 | elapsed: 0.6s
Trial 11 | score: 0.7202 | val: ['0.7504', '0.7202'] | test: 0.5436 | elapsed: 0.9s
Trial 12 | score: 0.7080 | val: ['0.7136', '0.7080'] | test: 0.6534 | elapsed: 1.6s
Trial 13 | score: 0.7728 | val: ['0.8222', '0.7728'] | test: 0.4471 | elapsed: 1.1s
Trial 14 | score: 0.6456 | val: ['0.6550', '0.6456'] | test: 0.6372 | elapsed: 3.2s
Trial 15 | score: 0.7160 | val: ['0.7458', '0.7160'] | test: 0.5915 | elapsed: 2.8s
Trial 16 | score: 0.7168 | val: ['0.7340', '0.7168'] | test: 0.6261 | elapsed: 2.7s
Trial 17 | score: 0.7734 | val: ['0.8458', '0.7734'] | test: 0.3594 | elapsed: 0.6s
Trial 18 | score: 0.6000 | val: ['0.6064', '0.6000'] | test: 0.5105 | elapsed: 4.3s
Trial 19 | score: 0.7342 | val: ['0.7726', '0.7342'] | test: 0.5627 | elapsed: 4.6s
Trial 20 | score: 0.7578 | val: ['0.7980', '0.7578'] | test: 0.5193 | elapsed: 2.0s
Trial 21 | score: 0.7872 | val: ['0.9036', '0.7872'] | test: 0.1482 | elapsed: 0.5s
Trial 22 | score: 0.7852 | val: ['0.8924', '0.7852'] | test: 0.1771 | elapsed: 0.7s
Trial 23 | score: 0.6776 | val: ['0.7194', '0.6776'] | test: 0.4551 | elapsed: 2.7s
Trial 24 | score: 0.7490 | val: ['0.7818', '0.7490'] | test: 0.5671 | elapsed: 1.7s
Trial 25 | score: 0.7912 | val: ['0.9120', '0.7912'] | test: 0.0987 | elapsed: 0.5s
Trial 26 | score: 0.7252 | val: ['0.7488', '0.7252'] | test: 0.6258 | elapsed: 1.7s
Trial 27 | score: 0.6926 | val: ['0.7130', '0.6926'] | test: 0.6494 | elapsed: 2.5s
Trial 28 | score: 0.7896 | val: ['0.9064', '0.7896'] | test: 0.1337 | elapsed: 0.6s
Trial 29 | score: 0.7594 | val: ['0.8292', '0.7594'] | test: 0.3983 | elapsed: 2.7s
Trial 30 | score: 0.6598 | val: ['0.6922', '0.6598'] | test: 0.4492 | elapsed: 1.4s
Trial 31 | score: 0.6248 | val: ['0.6620', '0.6248'] | test: 0.4297 | elapsed: 2.7s
Trial 32 | score: 0.6884 | val: ['0.7044', '0.6884'] | test: 0.6598 | elapsed: 2.1s
Trial 33 | score: 0.7448 | val: ['0.7910', '0.7448'] | test: 0.5276 | elapsed: 2.4s
Trial 34 | score: 0.7912 | val: ['0.9120', '0.7912'] | test: 0.0987 | elapsed: 0.5s
Trial 35 | score: 0.7046 | val: ['0.7486', '0.7046'] | test: 0.4872 | elapsed: 3.3s
Trial 36 | score: 0.6968 | val: ['0.7040', '0.6968'] | test: 0.6558 | elapsed: 2.8s
Trial 37 | score: 0.7322 | val: ['0.7528', '0.7322'] | test: 0.6171 | elapsed: 1.1s
Trial 38 | score: 0.7918 | val: ['0.9108', '0.7918'] | test: 0.1029 | elapsed: 0.6s
Trial 39 | score: 0.7580 | val: ['0.8086', '0.7580'] | test: 0.4749 | elapsed: 2.9s
Trial 40 | score: 0.7862 | val: ['0.9044', '0.7862'] | test: 0.1274 | elapsed: 0.5s
Trial 41 | score: 0.6614 | val: ['0.7052', '0.6614'] | test: 0.4065 | elapsed: 1.8s
Trial 42 | score: 0.7290 | val: ['0.7598', '0.7290'] | test: 0.5539 | elapsed: 1.9s
Trial 43 | score: 0.6544 | val: ['0.6714', '0.6544'] | test: 0.6470 | elapsed: 2.6s
Trial 44 | score: 0.7822 | val: ['0.8820', '0.7822'] | test: 0.2190 | elapsed: 0.9s
Trial 45 | score: 0.7040 | val: ['0.7200', '0.7040'] | test: 0.6242 | elapsed: 2.5s
Trial 46 | score: 0.7694 | val: ['0.8452', '0.7694'] | test: 0.3581 | elapsed: 2.4s
Trial 47 | score: 0.7354 | val: ['0.7850', '0.7354'] | test: 0.4704 | elapsed: 1.5s
Trial 48 | score: 0.6356 | val: ['0.6492', '0.6356'] | test: 0.6409 | elapsed: 1.3s
Trial 49 | score: 0.7860 | val: ['0.9004', '0.7860'] | test: 0.1470 | elapsed: 0.5s

Best score: 0.7918
Best hparams: {'hidden_dim': 95, 'l2_regularizer_weight': 0.0003785007512735576, 'lr': 0.0010554428627419098, 'penalty_anneal_iters': 111, 'penalty_weight': 846780.3521114411, 'steps': 101, 'grayscale_model': False}
Saved -> results/exp5/search_results_irm_A_train_domain_val.json
[IRM - Config A - leave_one_domain_out]
Using device: cuda
Mode: irm  |  Config: A  |  e values: [0.1, 0.2]  |  Selection: leave_one_domain_out  |  Trials: 50

Trial 00 | score: 0.7993 | val: ['0.8966', '0.7993'] | test: 0.1096 | elapsed: 1.2s
Trial 01 | score: 0.6308 | val: ['0.7656', '0.6308'] | test: 0.4090 | elapsed: 3.5s
Trial 02 | score: 0.7904 | val: ['0.7952', '0.7904'] | test: 0.3320 | elapsed: 0.9s
Trial 03 | score: 0.7993 | val: ['0.9004', '0.7993'] | test: 0.0988 | elapsed: 0.9s
Trial 04 | score: 0.7992 | val: ['0.8651', '0.7992'] | test: 0.1764 | elapsed: 2.4s
Trial 05 | score: 0.7993 | val: ['0.9003', '0.7993'] | test: 0.0990 | elapsed: 2.8s
Trial 06 | score: 0.7991 | val: ['0.8722', '0.7991'] | test: 0.1611 | elapsed: 3.5s
Trial 07 | score: 0.7993 | val: ['0.8793', '0.7993'] | test: 0.1494 | elapsed: 2.9s
Trial 08 | score: 0.7923 | val: ['0.8162', '0.7923'] | test: 0.3111 | elapsed: 1.3s
Trial 09 | score: 0.7988 | val: ['0.8568', '0.7988'] | test: 0.1911 | elapsed: 1.0s
Trial 10 | score: 0.7978 | val: ['0.8353', '0.7978'] | test: 0.2408 | elapsed: 0.9s
Trial 11 | score: 0.7951 | val: ['0.8613', '0.7951'] | test: 0.2011 | elapsed: 0.9s
Trial 12 | score: 0.7993 | val: ['0.8820', '0.7993'] | test: 0.1431 | elapsed: 2.2s
Trial 13 | score: 0.7989 | val: ['0.8620', '0.7989'] | test: 0.1851 | elapsed: 1.4s
Trial 14 | score: 0.7993 | val: ['0.8989', '0.7993'] | test: 0.1015 | elapsed: 4.0s
Trial 15 | score: 0.7980 | val: ['0.8242', '0.7980'] | test: 0.2234 | elapsed: 2.7s
Trial 16 | score: 0.7990 | val: ['0.8673', '0.7990'] | test: 0.1747 | elapsed: 3.2s
Trial 17 | score: 0.7991 | val: ['0.8625', '0.7991'] | test: 0.1814 | elapsed: 0.8s
Trial 18 | score: 0.7993 | val: ['0.9008', '0.7993'] | test: 0.0987 | elapsed: 5.5s
Trial 19 | score: 0.7995 | val: ['0.8078', '0.7995'] | test: 0.2644 | elapsed: 6.1s
Trial 20 | score: 0.7993 | val: ['0.8644', '0.7993'] | test: 0.1790 | elapsed: 3.7s
Trial 21 | score: 0.7972 | val: ['0.8627', '0.7972'] | test: 0.1835 | elapsed: 0.8s
Trial 22 | score: 0.7979 | val: ['0.8522', '0.7979'] | test: 0.2068 | elapsed: 1.0s
Trial 23 | score: 0.7993 | val: ['0.9002', '0.7993'] | test: 0.0990 | elapsed: 4.0s
Trial 24 | score: 0.7992 | val: ['0.8680', '0.7992'] | test: 0.1751 | elapsed: 2.2s
Trial 25 | score: 0.7993 | val: ['0.9007', '0.7993'] | test: 0.0987 | elapsed: 0.7s
Trial 26 | score: 0.7994 | val: ['0.8791', '0.7994'] | test: 0.1491 | elapsed: 2.4s
Trial 27 | score: 0.7993 | val: ['0.8942', '0.7993'] | test: 0.1174 | elapsed: 3.6s
Trial 28 | score: 0.7988 | val: ['0.8834', '0.7988'] | test: 0.1408 | elapsed: 0.7s
Trial 29 | score: 0.7812 | val: ['0.8215', '0.7812'] | test: 0.2926 | elapsed: 3.4s
Trial 30 | score: 0.7993 | val: ['0.8993', '0.7993'] | test: 0.1018 | elapsed: 1.9s
Trial 31 | score: 0.7993 | val: ['0.9006', '0.7993'] | test: 0.0987 | elapsed: 4.2s
Trial 32 | score: 0.7987 | val: ['0.8506', '0.7987'] | test: 0.2033 | elapsed: 3.8s
Trial 33 | score: 0.7916 | val: ['0.7941', '0.7916'] | test: 0.3305 | elapsed: 3.7s
Trial 34 | score: 0.7993 | val: ['0.9008', '0.7993'] | test: 0.0987 | elapsed: 0.8s
Trial 35 | score: 0.7939 | val: ['0.8125', '0.7939'] | test: 0.3136 | elapsed: 4.9s
Trial 36 | score: 0.7993 | val: ['0.8901', '0.7993'] | test: 0.1260 | elapsed: 4.0s
Trial 37 | score: 0.7849 | val: ['0.8107', '0.7849'] | test: 0.3187 | elapsed: 2.1s
